Date,Value
2018-10-31 12,39.045999
2018-10-31 13,40.6939986
2018-10-31 14,38.57249925
2018-10-31 15,31.7899992
2018-10-31 16,31.4839992
2018-10-31 17,33.6924985
2018-10-31 18,39.847999
2018-10-31 19,42.2379982
2018-10-31 20,40.4419992
2018-10-31 21,40.909999
2018-10-31 22,36.713998200000006
2018-10-31 23,35.0199988
2018-11-01 00,35.999999
2018-11-01 01,35.6219994
2018-11-01 02,38.7839994
2018-11-01 03,38.671998599999995
2018-11-01 04,41.192499000000005
2018-11-01 05,42.6579994
2018-11-01 06,44.487999
2018-11-01 07,33.42999925
2018-11-01 08,32.721999200000006
2018-11-01 09,27.699999000000002
2018-11-01 10,25.1139996
2018-11-01 11,25.532498750000002
2018-11-01 12,30.1519992
2018-11-01 13,35.203999800000005
2018-11-01 14,44.60249900000001
2018-11-01 15,43.771999400000006
2018-11-01 16,41.585999400000006
2018-11-01 17,37.899998599999996
2018-11-01 18,32.934999250000004
2018-11-01 19,29.7639998
2018-11-01 20,31.609999199999997
2018-11-01 21,36.0649985
2018-11-01 22,40.823999199999996
2018-11-01 23,41.890000199999996
2018-11-02 00,39.8199996
2018-11-02 01,40.1399995
2018-11-02 02,35.3999998
2018-11-02 03,32.3059994
2018-11-02 04,29.549999
2018-11-02 05,34.725999
2018-11-02 06,35.5120002
2018-11-02 07,35.3819992
2018-11-02 08,34.9024995
2018-11-02 09,35.39799860000001
2018-11-02 10,40.3779988
2018-11-02 11,39.0499985
2018-11-02 12,35.6079994
2018-11-02 13,34.0019992
2018-11-02 14,36.093998600000006
2018-11-02 15,34.71249975
2018-11-02 16,36.355999600000004
2018-11-02 17,36.936666
2018-11-02 18,39.5419996
2018-11-02 19,36.0839996
2018-11-02 20,36.7159998
2018-11-02 21,30.19749975
2018-11-02 22,28.153999199999998
2018-11-02 23,30.707998800000002
2018-11-03 00,29.13249975
2018-11-03 01,23.2899992
2018-11-03 02,20.479999399999997
2018-11-03 03,24.823999399999998
2018-11-03 04,36.46999925
2018-11-03 05,42.311999400000005
2018-11-03 06,42.0299982
2018-11-03 07,38.93499925
